Movie_ID,Title,Release Date,Poster URL,Description,Genres,Director,Crew,Trailer
11,Spider-Man: Far From Home,2019-06-28,https://image.tmdb.org/t/p/w500/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.","Action, Adventure, Science Fiction",Jon Watts,"Kiante Elam, Paola Altobelli, Hayley Ainsley, Nina Armstrong, Georgina Armstrong",https://www.youtube.com/watch?v=LFoz8ZJWmPs
12,The Amazing Spider-Man,2012-06-23,https://image.tmdb.org/t/p/w500/jexoNYnPd6vVrmygwF6QZmWPFdu.jpg,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","Action, Adventure, Science Fiction",Marc Webb,"Ve Neill, John Schwartzman, Marc Webb, James Horner, Alan Edward Bell",https://www.youtube.com/watch?v=WLxul0Vzuhk
13,Spider-Man 3,2007-05-01,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","Action, Adventure, Science Fiction",Sam Raimi,"Sam Raimi, Avi Arad, Laura Ziskin, Grant Curtis, Alvin Sargent",https://www.youtube.com/watch?v=wPosLpgMtTY
14,Japanese Spiderman: Episode 0,1978-07-22,https://image.tmdb.org/t/p/w500/hi98SQoZgxBMHmWsbhxyh5tNQcB.jpg,"The Iron Cross Army are sabotaging oil-tankers with the help of their monster, the Sea-Devil, a semi-mechanical anthropomorphic swordfish with an ability to shoot torpedoes from its mouth. Spiderman employs the help of the interpol agent Juzo Mamiya to help him stop the Iron Cross Army.","Action, Adventure, Science Fiction",Koichi Takemoto,"Susumu Takaku, Shozo Uehara, Koichi Takemoto, Saburo Yatsude, Susumu Yoshikawa",https://www.youtube.com/watch?v=g1PePr8hAsc
15,Spider-Man: Beyond the Spider-Verse,2027-06-02,https://image.tmdb.org/t/p/w500/rZ4arzyaDyI8l9Y7VIPPsDGARwh.jpg,"Miles Morales is now a fugitive on the run from every other Spider in the multiverse, and Gwen and his other friends might not be enough to help him.","Animation, Action, Adventure, Science Fiction",Bob Persichetti,"Amy Pascal, Christopher Miller, Phil Lord, Avi Arad, Daniel Pemberton",No trailer available.
16,Neukölln Spiderman,2025-01-15,https://image.tmdb.org/t/p/w500/3FxttXC7yPAxkIMskKYiTPjL3Sn.jpg,"Facing the risk of deportation from Germany, Altay learns that he must present a valid reason to the immigration office to stay. On his way home, he encounters a man wearing a Spider-Man mask and, curious about his valid reason, conducts a brief interview. During their conversation,  Altay realizes that a series of encounters has been helping him make sense of his recent anxieties. Inspired by this, he begins recording conversations with people who share a similar sense of delusion and brings strangers into organic dialogues. Through a blend of fiction, documentary, and animation, the film explores ...",Documentary,Altay Erlik,"Altay Erlik, Altay Erlik, Altay Erlik, Altay Erlik, Can Kuman",https://www.youtube.com/watch?v=1022813988
17,Spider-Man 2,2004-06-25,https://image.tmdb.org/t/p/w500/aGuvNAaaZuWXYQQ6N2v7DeuP6mB.jpg,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...","Action, Adventure, Science Fiction",Sam Raimi,"Alvin Sargent, Sam Raimi, Danny Elfman, Stan Lee, Dianne Crittenden",https://www.youtube.com/watch?v=3jBFwltrxJw
18,Batman,1943-07-16,https://image.tmdb.org/t/p/w500/AvzD3mrtokIzZOiV6zAG7geIo6F.jpg,"Japanese master spy Daka operates a covert espionage-sabotage organization located in Gotham City's now-deserted Little Tokyo, which turns American scientists into pliable zombies. The great crime-fighters Batman and Robin, with the help of their allies, are in pursuit.","Action, Adventure, Crime, Science Fiction, Thriller, War",Lambert Hillyer,"Lambert Hillyer, Bob Kane, Rudolph C. Flothow, Victor McLeod, Leslie Swabacker",https://www.youtube.com/watch?v=kzEpyKuIhkQ
19,Batman,1989-06-21,https://image.tmdb.org/t/p/w500/cij4dd21v2Rk2YtUQbV5kW69WB2.jpg,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.","Fantasy, Action, Crime",Tim Burton,"Ray Lovejoy, Roger Pratt, Danny Elfman, Marion Dougherty, Bob Kane",https://www.youtube.com/watch?v=ygK7sAavO0c
20,Batman,1966-07-30,https://image.tmdb.org/t/p/w500/zzoPxWHnPa0eyfkMLgwbNvdEcVF.jpg,The Dynamic Duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,"Action, Comedy, Crime",Leslie H. Martinson,"Leslie H. Martinson, William Dozier, Nelson Riddle, Howard Schwartz, Serge Krizman",https://www.youtube.com/watch?v=vvY5MgOgDUw
